region_code,region_name,region_level,n_species,n_checklists,top_hotspot,hotspot_name
CA,Canada,country,658,2589227,L131153,Point Pelee National Park
CA,Canada,country,658,2589227,L131153,Point Pelee National Park
CA,Canada,country,658,2589227,L131153,Point Pelee National Park
US,United States,country,1125,17707238,L130767,Aransas NWR (CTC 037) (Aransas Co.)
US,United States,country,1125,17707238,L130767,Aransas NWR (CTC 037) (Aransas Co.)
US,United States,country,1125,17707238,L130767,Aransas NWR (CTC 037) (Aransas Co.)
MX,Mexico,country,1082,193508,L502887,Reserva Ecológica Sierra de San Juan--La Noria
MX,Mexico,country,1082,193508,L502887,Reserva Ecológica Sierra de San Juan--La Noria
CA-BC,British Columbia,subnational1,509,509343,L285875,Salmon Arm Bay (general)
CA-BC,British Columbia,subnational1,509,509343,L285875,Salmon Arm Bay (general)
CA-ON,Ontario,subnational1,494,975327,L131153,Point Pelee National Park
CA-ON,Ontario,subnational1,494,975327,L131153,Point Pelee National Park
CA-ON,Ontario,subnational1,494,975327,L131153,Point Pelee National Park
CA-QC,Quebec,subnational1,449,529349,L164932,RNF du cap Tourmente
CA-QC,Quebec,subnational1,449,529349,L164932,RNF du cap Tourmente
CA-NS,Nova Scotia,subnational1,437,103859,L1020032,Outer Tuskets--Seal Island
CA-NS,Nova Scotia,subnational1,437,103859,L1020032,Outer Tuskets--Seal Island
CA-NL,Newfoundland and Labrador,subnational1,402,50990,L299033,NL--Cape Spear
CA-NL,Newfoundland and Labrador,subnational1,402,50990,L299033,NL--Cape Spear
CA-AB,Alberta,subnational1,394,188664,L161199,Calgary--Inglewood Bird Sanctuary
CA-AB,Alberta,subnational1,394,188664,L161199,Calgary--Inglewood Bird Sanctuary
CA-MB,Manitoba,subnational1,382,85932,L17696,Oak Hammock Marsh PWMA
CA-MB,Manitoba,subnational1,382,85932,L17696,Oak Hammock Marsh PWMA
CA-NB,New Brunswick,subnational1,376,50298,L164896,Castalia Marsh
CA-NB,New Brunswick,subnational1,376,50298,L164896,Castalia Marsh
CA-SK,Saskatchewan,subnational1,374,51761,L735304,Regina--Wascana Marsh (north & east sides incl. Douglas Park)
CA-SK,Saskatchewan,subnational1,374,51761,L735304,Regina--Wascana Marsh (north & east sides incl. Douglas Park)
CA-YT,Yukon Territory,subnational1,301,22333,L784707,Teslin Lake--Teslin Lake Bird Observatory
CA-YT,Yukon Territory,subnational1,301,22333,L784707,Teslin Lake--Teslin Lake Bird Observatory
CA-NT,Northwest Territories,subnational1,272,7635,L346329,Fort Simpson
CA-NT,Northwest Territories,subnational1,272,7635,L346329,Fort Simpson
CA-PE,Prince Edward Island,subnational1,263,8685,L272587,"East Point, PEI"
CA-PE,Prince Edward Island,subnational1,263,8685,L272587,"East Point, PEI"
CA-NU,Nunavut,subnational1,230,5023,L1287185,Akimiski island--OMNR base camp
CA-NU,Nunavut,subnational1,230,5023,L1287185,Akimiski island--OMNR base camp
US-CA,California,subnational1,683,1820922,L329116,Southeast Farallon Island (SF Co.)
US-CA,California,subnational1,683,1820922,L329116,Southeast Farallon Island (SF Co.)
US-TX,Texas,subnational1,660,1140390,L130767,Aransas NWR (CTC 037) (Aransas Co.)
US-TX,Texas,subnational1,660,1140390,L130767,Aransas NWR (CTC 037) (Aransas Co.)
US-TX,Texas,subnational1,660,1140390,L130767,Aransas NWR (CTC 037) (Aransas Co.)
US-AZ,Arizona,subnational1,554,543490,L129050,Patagonia Lake State Park
US-AZ,Arizona,subnational1,554,543490,L129050,Patagonia Lake State Park
US-FL,Florida,subnational1,543,894411,L127332,Fort De Soto Park
US-FL,Florida,subnational1,543,894411,L127332,Fort De Soto Park
US-NM,New Mexico,subnational1,540,215246,L127945,Bosque del Apache NWR
US-NM,New Mexico,subnational1,540,215246,L127945,Bosque del Apache NWR
US-OR,Oregon,subnational1,528,538299,L159619,Malheur NWR--Headquarters
