hotspot_id,hotspot_name,lat,lng,hotspot_species,hotspot_checklists
L131153,Point Pelee National Park,41.9553986,-82.51399990000002,372,7755
L130767,Aransas NWR (CTC 037) (Aransas Co.),28.251864000000005,-96.8118668,369,1916
L502887,Reserva Ecológica Sierra de San Juan--La Noria,21.4870953,-104.9923038,360,465
L285875,Salmon Arm Bay (general),50.7068,-119.283,280,8355
L131153,Point Pelee National Park,41.9553986,-82.51399990000002,372,7755
L164932,RNF du cap Tourmente,47.0780936,-70.7855538,293,3256
L1020032,Outer Tuskets--Seal Island,43.40956,-66.01459000000001,305,553
L299033,NL--Cape Spear,47.5216036,-52.624684599999995,195,1e3
L161199,Calgary--Inglewood Bird Sanctuary,51.030354,-114.00992000000001,256,4467
L17696,Oak Hammock Marsh PWMA,50.1738,-97.133,259,745
L164896,Castalia Marsh,44.724194000000004,-66.75429000000001,218,781
L735304,Regina--Wascana Marsh (north & east sides incl. Douglas Park),50.4324518,-104.58537369999999,222,642
L784707,Teslin Lake--Teslin Lake Bird Observatory,60.231864599999994,-132.9160309,197,1946
L346329,Fort Simpson,61.86197,-121.35334109999998,195,782
L272587,"East Point, PEI",46.445682,-61.97194439999999,175,251
L1287185,Akimiski island--OMNR base camp,53.0960857,-80.97335819999999,114,148
L329116,Southeast Farallon Island (SF Co.),37.69852000000001,-123.00278899999999,355,7573
L130767,Aransas NWR (CTC 037) (Aransas Co.),28.251864000000005,-96.8118668,369,1916
L129050,Patagonia Lake State Park,31.495199199999995,-110.85669709999999,312,4356
L127332,Fort De Soto Park,27.6155866,-82.73422840000002,338,9651
L127945,Bosque del Apache NWR,33.802,-106.88,358,5385
L159619,Malheur NWR--Headquarters,43.265464800000004,-118.8440412,300,1548
L267164,Neah Bay,48.37148659999999,-124.6282876,286,1314
L261146,St. Paul Island (Pribilof Islands-Bering Sea),57.170120000000004,-170.29675099999997,302,3711
L830335,Plum Island,42.79854960000001,-70.8090735,365,3085
L109289,Barr Lake State Park,39.9430556,-104.7625,332,2538
L167247,Jones Beach SP,40.5945237,-73.5104002,310,1725
L718378,Chincoteague NWR,37.9106228,-75.3479719,338,4016
L168656,Desert NWR--Corn Creek (Field Station),36.438797,-115.359566,289,1916
L190286,Pea Island NWR,35.66591000000001,-75.4799,323,1906
L276107,Cape Island--CMP (Cape May Point),38.937786499999994,-74.9670721,368,2731
L352958,Fish Springs NWR,39.865343,-113.3936175,287,935
L392713,Grand Isle,29.2390388,-89.9895716,314,1135
L125100,Quivira NWR,38.12159330000001,-98.4903717,315,1902
L1086587,Manitowoc Lakefront,44.09279420000001,-87.650170299999985,300,7727
L166463,Dauphin Island,30.2504,-88.10579999999999,327,1331
L126618,Point Lookout State Park,38.0485698,-76.3231802,292,1270
L127961,Red Slough WMA,33.739399000000006,-94.65309909999999,314,1367
L109200,Greenwich Point Park,41.00291320000001,-73.5719419,306,1354
L251836,Monhegan Island,43.76570550000001,-69.31312650000001,301,2498
L129756,Presque Isle SP (IBA),42.15868,-80.0994568,316,2099
L124353,Huntington Beach SP,33.508300000000006,-79.0659,322,4240
L109176,Camas NWR,43.95098959999999,-112.25577309999998,271,355
L161180,"Montrose Point, Lincoln Park, Chicago",41.963383300000004,-87.63442040000001,329,12410
L140452,Whitefish Point,46.769001,-84.9530029,334,4426
L325696,Branched Oak SRA,40.9704362,-96.8676911,268,1175
L140461,Jekyll Island,31.046499299999997,-81.41130070000001,302,2202
L158584,Bowdoin NWR,48.40011230000001,-107.65134719999999,251,430
L267805,Ensley Bottoms--Maxson Wastewater Lagoons (The Pits)/Earth Complex,35.05958,-90.14101980000001,317,1787
L418084,Park Point--Park Point Recreation Area,46.7311691,-92.05236199999999,282,2679
L248546,Buck Creek SP,39.9522028,-83.7279498,281,3605
L125094,Holla Bend NWR,35.13975670000001,-93.05419350000001,280,713
L126637,Bombay Hook National Wildlife Refuge,39.2670818,-75.4695511,324,7396
L169447,Riverlands Migratory Bird Sanctuary,38.869110000000006,-90.17156,312,5894
