You Asked For the Following:
Year           : From:1950 To: 2016
State            : All States By State
Species          : LOBSTER, AMERICAN
"Year","State","Species","Metric Tons","Pounds","$"
"1950","Connecticut","LOBSTER, AMERICAN","             102.6","         226,300","         110,441"
"1950","Maine","LOBSTER, AMERICAN","           8,324.7","      18,352,600","       6,412,311"
"1950","Massachusetts","LOBSTER, AMERICAN","           1,412.0","       3,113,000","       1,256,190"
"1950","New Hampshire","LOBSTER, AMERICAN","             277.9","         612,700","         215,400"
"1950","New Jersey","LOBSTER, AMERICAN","             196.0","         432,100","         153,758"
"1950","New York","LOBSTER, AMERICAN","              92.2","         203,200","          82,640"
"1950","Rhode Island","LOBSTER, AMERICAN","             115.3","         254,100","         114,062"
"1950","Virginia","LOBSTER, AMERICAN","               1.8","           3,900","           1,260"
"1951","Connecticut","LOBSTER, AMERICAN","             141.9","         312,800","         147,889"
"1951","Maine","LOBSTER, AMERICAN","           9,416.4","      20,759,500","       7,214,107"
"1951","Maryland","LOBSTER, AMERICAN","               0.4","             900","             250"
"1951","Massachusetts","LOBSTER, AMERICAN","           1,686.7","       3,718,600","       1,555,728"
"1951","New Hampshire","LOBSTER, AMERICAN","             240.9","         531,100","         210,132"
"1951","New Jersey","LOBSTER, AMERICAN","              97.9","         215,800","          72,046"
"1951","New York","LOBSTER, AMERICAN","              87.5","         192,800","          84,580"
"1951","Rhode Island","LOBSTER, AMERICAN","              96.2","         212,100","          92,820"
"1951","Virginia","LOBSTER, AMERICAN","               1.0","           2,200","             770"
"1952","Connecticut","LOBSTER, AMERICAN","             130.8","         288,400","         141,896"
"1952","Maine","LOBSTER, AMERICAN","           9,088.4","      20,036,300","       8,511,821"
"1952","Maryland","LOBSTER, AMERICAN","               0.2","             500","             225"
"1952","Massachusetts","LOBSTER, AMERICAN","           1,585.5","       3,495,500","       1,438,918"
"1952","New Hampshire","LOBSTER, AMERICAN","             186.3","         410,700","         164,280"
"1952","New Jersey","LOBSTER, AMERICAN","             166.2","         366,300","         108,375"
"1952","New York","LOBSTER, AMERICAN","             154.3","         340,100","         145,757"
"1952","Rhode Island","LOBSTER, AMERICAN","              41.7","          92,000","          43,912"
"1952","Virginia","LOBSTER, AMERICAN","               0.9","           2,000","             840"
"1953","Connecticut","LOBSTER, AMERICAN","             143.7","         316,700","         150,782"
"1953","Maine","LOBSTER, AMERICAN","          10,115.3","      22,300,300","       8,411,229"
"1953","Maryland","LOBSTER, AMERICAN","               0.6","           1,400","             560"
"1953","Massachusetts","LOBSTER, AMERICAN","           1,712.6","       3,775,500","       1,633,953"
"1953","New Hampshire","LOBSTER, AMERICAN","             277.1","         611,000","         219,960"
"1953","New Jersey","LOBSTER, AMERICAN","             241.2","         531,700","         182,277"
"1953","New York","LOBSTER, AMERICAN","             196.8","         433,900","         200,772"
"1953","Rhode Island","LOBSTER, AMERICAN","              60.1","         132,600","          66,093"
"1953","Virginia","LOBSTER, AMERICAN","               5.4","          12,000","           4,780"
