You Asked For the Following:
Year           : From:1950 To: 2016
State            : All States By State
Species          : LOBSTER, CARIBBEAN SPINY
"Year","State","Species","Metric Tons","Pounds","$"
"1950","Florida East Coast","LOBSTER, CARIBBEAN SPINY","             422.5","         931,500","         167,670"
"1950","Florida West Coast","LOBSTER, CARIBBEAN SPINY","             284.9","         628,200","         113,070"
"1951","Florida East Coast","LOBSTER, CARIBBEAN SPINY","             916.4","       2,020,200","         383,838"
"1951","Florida West Coast","LOBSTER, CARIBBEAN SPINY","             488.6","       1,077,200","         204,668"
"1952","Florida East Coast","LOBSTER, CARIBBEAN SPINY","             297.4","         655,700","         163,925"
"1952","Florida West Coast","LOBSTER, CARIBBEAN SPINY","             434.0","         956,700","         239,175"
"1953","Florida East Coast","LOBSTER, CARIBBEAN SPINY","             508.6","       1,121,200","         224,240"
"1953","Florida West Coast","LOBSTER, CARIBBEAN SPINY","             396.5","         874,200","         174,852"
"1954","Florida East Coast","LOBSTER, CARIBBEAN SPINY","             554.9","       1,223,300","         269,126"
"1954","Florida West Coast","LOBSTER, CARIBBEAN SPINY","             328.4","         724,000","         159,280"
"1955","Florida East Coast","LOBSTER, CARIBBEAN SPINY","             489.6","       1,079,400","         248,262"
"1955","Florida West Coast","LOBSTER, CARIBBEAN SPINY","             551.6","       1,216,000","         279,680"
"1956","Florida East Coast","LOBSTER, CARIBBEAN SPINY","             362.3","         798,800","         227,818"
"1956","Florida West Coast","LOBSTER, CARIBBEAN SPINY","           1,049.7","       2,314,200","         597,238"
"1957","Florida East Coast","LOBSTER, CARIBBEAN SPINY","             295.4","         651,300","         200,112"
"1957","Florida West Coast","LOBSTER, CARIBBEAN SPINY","           1,537.0","       3,388,500","         923,433"
"1958","Florida East Coast","LOBSTER, CARIBBEAN SPINY","             282.5","         622,800","         183,726"
"1958","Florida West Coast","LOBSTER, CARIBBEAN SPINY","           1,057.6","       2,331,500","         652,820"
"1959","Florida East Coast","LOBSTER, CARIBBEAN SPINY","             246.3","         543,000","         176,476"
"1959","Florida West Coast","LOBSTER, CARIBBEAN SPINY","           1,196.0","       2,636,600","         777,798"
"1960","Florida East Coast","LOBSTER, CARIBBEAN SPINY","             326.3","         719,400","         280,566"
"1960","Florida West Coast","LOBSTER, CARIBBEAN SPINY","             965.8","       2,129,100","         819,703"
